   40/1999     2.21G   0.03686   0.01755  0.006825   0.06123        11       640    0.9818     0.933    0.9911    0.7233   0.02913   0.01007  0.004861
   41/1999     2.21G   0.03329   0.01832  0.007216   0.05882         8       640     0.974    0.9841    0.9929    0.6607   0.02588  0.009692  0.004543
   42/1999     2.21G   0.03421   0.01742  0.006432   0.05806         4       640    0.9754    0.9985    0.9953    0.6749   0.02876  0.009869  0.004644
   43/1999     2.21G   0.03258     0.016  0.006431   0.05502         6       640    0.9715    0.9716    0.9952    0.7287   0.02317  0.009688  0.004099
   44/1999     2.21G   0.03145   0.01632  0.005343   0.05311         3       640    0.9567    0.9657    0.9882    0.6491   0.02614  0.009819  0.004168
   45/1999     2.21G   0.03204   0.01586  0.005246   0.05315         7       640    0.9486    0.9898    0.9919    0.6978   0.02309  0.009568  0.004226
   46/1999     2.21G   0.03101   0.01578  0.006293   0.05308         7       640    0.9717    0.9951    0.9953    0.7709   0.02203  0.009267  0.003893
   47/1999     2.21G    0.0324   0.01564  0.006349   0.05439        10       640    0.9278    0.9802    0.9836    0.6737   0.02637   0.01006  0.004916
   48/1999     2.21G   0.03057   0.01562  0.005706   0.05189         8       640     0.953     0.987    0.9879    0.6851   0.02471  0.009845  0.003771
   49/1999     2.21G   0.02861   0.01494  0.004911   0.04846         2       640    0.9672    0.9674    0.9933     0.738   0.02319  0.009466  0.004143
   50/1999     2.21G   0.02964   0.01549   0.00455   0.04967         1       640     0.943     0.987    0.9652    0.6736   0.02302  0.009399  0.003883
   51/1999     2.21G   0.03114   0.01545  0.005365   0.05195         5       640    0.9179    0.9866    0.9884    0.6605   0.02482  0.009589   0.00433
   52/1999     2.21G   0.02826   0.01408  0.005112   0.04746         2       640    0.9895    0.9826    0.9945    0.7527   0.02192  0.009173  0.003932
   53/1999     2.21G   0.02729   0.01403  0.005884   0.04721         4       640    0.9659    0.9832    0.9916    0.6833   0.02507      0.01  0.004381
   54/1999     2.21G   0.03091    0.0166   0.00445   0.05195        18       640    0.9491         1     0.986     0.738   0.02297  0.009618  0.003131
   55/1999     2.21G   0.03031   0.01622  0.004575   0.05111         6       640    0.9526    0.9833    0.9883    0.7071   0.02375  0.009444  0.005088
   56/1999     2.21G   0.02705   0.01433  0.004538   0.04592         3       640     0.986    0.9519    0.9836    0.7816   0.02047  0.008966  0.003403
   57/1999     2.21G   0.02917   0.01596  0.005346   0.05047        10       640    0.9602    0.9888    0.9928    0.7385   0.02238  0.009201  0.003648
   58/1999     2.21G   0.02988   0.01536  0.004463   0.04971         4       640    0.9838     0.981    0.9935    0.7347   0.02113  0.009814  0.004026
   59/1999     2.21G   0.02758   0.01627  0.004321   0.04817        10       640     0.961    0.9999    0.9952    0.7333   0.02177  0.009888  0.002564
   60/1999     2.21G   0.02711   0.01484  0.004634   0.04658        12       640    0.9766    0.9914    0.9952    0.7855   0.01958  0.009522   0.00362
   61/1999     2.21G   0.02629    0.0144  0.004568   0.04526         2       640    0.9887     0.994    0.9954    0.7567   0.02197  0.009254  0.002751
   62/1999     2.21G    0.0269   0.01471  0.005043   0.04666         4       640    0.9958    0.9988    0.9954     0.763    0.0222  0.009083  0.002862
   63/1999     2.21G   0.02762   0.01519  0.003986   0.04679         4       640    0.9839         1    0.9954    0.7822   0.01972   0.00882   0.00263
   64/1999     2.21G    0.0256   0.01413  0.004267   0.04399         4       640    0.9875    0.9957    0.9953    0.7485   0.01994  0.009013  0.002673
   65/1999     2.21G   0.02646   0.01444  0.005089   0.04598         7       640    0.9506    0.9737    0.9883    0.7811   0.01837  0.008922  0.004547
   66/1999     2.21G    0.0269   0.01403  0.004113   0.04505         7       640     0.986    0.9938    0.9954    0.7441   0.02202  0.009239  0.002739
   67/1999     2.21G   0.02748   0.01432  0.003918   0.04571         6       640    0.9667    0.9953    0.9953    0.7449   0.02273   0.00926  0.002858
   68/1999     2.21G   0.02774    0.0143  0.004192   0.04624         7       640    0.9777         1    0.9953    0.7716   0.02129  0.009239  0.002598
   69/1999     2.21G   0.02664   0.01467  0.004059   0.04537         2       640    0.9847         1    0.9954    0.8016   0.01749  0.008582  0.002429
   70/1999     2.21G   0.02537    0.0151  0.004541   0.04501         4       640    0.9935    0.9881    0.9954    0.7515   0.02011  0.008653  0.002649
   71/1999     2.21G   0.02573    0.0145  0.003532   0.04376         7       640     0.993    0.9888    0.9954    0.7521    0.0195  0.008782  0.002525
   72/1999     2.21G   0.02562   0.01359  0.003431   0.04264         5       640    0.9897    0.9981    0.9954      0.78   0.01922  0.008565  0.002285
   73/1999     2.21G   0.02619   0.01558  0.003638   0.04541        12       640    0.9757    0.9999    0.9954    0.7868   0.01902  0.008869  0.002304
   74/1999     2.21G   0.02525   0.01515  0.003576   0.04398         5       640    0.9812         1    0.9954    0.7973   0.01848  0.008506  0.002187
   75/1999     2.21G   0.02514   0.01367  0.004415   0.04323         4       640    0.9727    0.9629    0.9863    0.7636   0.02046  0.009003   0.00238
   76/1999     2.21G   0.02388   0.01479  0.003573   0.04225         9       640    0.9528    0.9629    0.9863    0.7704    0.0205  0.008992  0.002239
   77/1999     2.21G   0.02595   0.01508  0.003394   0.04442        17       640    0.9649         1    0.9955    0.7728   0.02135   0.00888  0.002255
   78/1999     2.21G   0.02554    0.0135  0.004299   0.04333         3       640    0.9658         1    0.9954    0.7514   0.02119  0.008891  0.002212
   79/1999     2.21G   0.02606   0.01521  0.003671   0.04494        10       640    0.9684    0.9998    0.9955    0.7627   0.02103  0.008966  0.002141
   80/1999     2.21G   0.02671   0.01491  0.004827   0.04646         4       640    0.9792    0.9988    0.9955    0.7814   0.02205  0.009106  0.002147
   81/1999     2.21G   0.02508   0.01353  0.003189    0.0418        10       640    0.9964    0.9958    0.9955    0.7902   0.02034  0.009179  0.002221
