    0/1099     1.83G    0.1133   0.03982   0.06826    0.2213        12       640  0.003736    0.1708  0.003049 0.0006629   0.09813   0.03325   0.06592
    1/1099     2.18G   0.09129   0.04974   0.06363    0.2047        37       640    0.1039    0.3894    0.1104   0.03495   0.07239     0.037   0.06283
    2/1099     2.18G   0.06996   0.05086   0.06087    0.1817        48       640    0.3188    0.4722    0.2004   0.08917   0.05747   0.03346   0.06072
    3/1099     2.18G   0.05981   0.05052   0.05915    0.1695        23       640    0.1578     0.573    0.1425   0.06406   0.04746   0.02558   0.06155
    4/1099     2.18G    0.0515   0.03374    0.0581    0.1433        12       640    0.1396    0.7626    0.1717   0.08982   0.04582   0.02007   0.05914
    5/1099     2.18G   0.05062   0.02978    0.0569    0.1373        55       640    0.0866    0.5147   0.08594    0.0242   0.06298   0.01699   0.05727
    6/1099     2.18G   0.05943   0.02468   0.05583    0.1399        21       640    0.1327    0.8745    0.2093    0.1136   0.04052   0.01592   0.05619
    7/1099     2.18G   0.05289   0.02354   0.05513    0.1316        15       640    0.2842    0.3682    0.2361    0.1142   0.05534   0.01375   0.05519
    8/1099     2.18G   0.05103   0.02171   0.05422     0.127        16       640    0.3111    0.3477    0.2952    0.1464   0.03788   0.01291   0.05471
    9/1099     2.18G   0.04928   0.02183    0.0536    0.1247        30       640     0.377    0.2997    0.3692    0.1973   0.04118   0.01242   0.05377
   10/1099     2.18G   0.04691   0.02127   0.05285     0.121         7       640    0.2742    0.6657    0.3988     0.182   0.03537   0.01192   0.05323
   11/1099     2.18G   0.04522   0.02056   0.05172    0.1175        12       640    0.4947    0.3368    0.4212    0.2272   0.03896    0.0115   0.05178
   12/1099     2.18G   0.04422   0.01914   0.05097    0.1143        22       640    0.4113    0.4847    0.4668     0.269   0.03806   0.01106   0.05022
   13/1099     2.18G   0.04413   0.01813   0.04941    0.1117        21       640    0.4353    0.5481    0.5184    0.2135   0.03705    0.0113   0.04851
   14/1099     2.18G   0.04138   0.01886   0.04785    0.1081        13       640    0.4399    0.6708    0.5714    0.3739    0.0278   0.01077   0.04614
   15/1099     2.18G   0.04134   0.01823   0.04625    0.1058        17       640    0.5301    0.6165    0.6507    0.3659   0.02986   0.01077   0.04342
   16/1099     2.18G   0.03994    0.0167   0.04247   0.09912        24       640    0.4588    0.7773    0.6683    0.3692   0.02999   0.01056   0.03966
   17/1099     2.18G   0.04471   0.01939   0.03939    0.1035        36       640    0.6878    0.5522    0.6304    0.3611   0.04121   0.01058   0.03652
   18/1099     2.18G   0.04646   0.01559   0.03533   0.09737         9       640    0.7728    0.6064    0.7605    0.4079   0.03889   0.01093   0.03301
   19/1099     2.18G   0.04778   0.01839   0.03332    0.0995        18       640    0.7607     0.679    0.7757    0.3913   0.03746   0.01049   0.02915
   20/1099     2.18G   0.04535   0.01588   0.03034   0.09157        15       640    0.8396    0.6426    0.7979    0.4456   0.03433   0.01078   0.02582
   21/1099     2.18G   0.04576   0.01749   0.02632   0.08958        34       640    0.6405    0.8248    0.8202    0.4122   0.03939   0.01025   0.02257
   22/1099     2.18G    0.0434   0.01685   0.02314   0.08339         6       640    0.7043    0.8302    0.8742    0.5282   0.03564   0.01027   0.02031
   23/1099     2.18G   0.04215   0.01623   0.02043   0.07882        13       640    0.8187    0.8673    0.9452    0.6039   0.03301    0.0097   0.01712
   24/1099     2.18G   0.04443   0.01714   0.01881   0.08038         8       640    0.8161    0.9226    0.9486    0.5758   0.03278  0.009724   0.01479
   25/1099     2.18G   0.04203    0.0159   0.01642   0.07435        25       640     0.914    0.9119    0.9621    0.6009   0.03165  0.009944   0.01381
   26/1099     2.18G   0.04209   0.01703   0.01418    0.0733        20       640    0.9262    0.8442     0.956    0.6041    0.0332  0.009892   0.01159
   27/1099     2.18G   0.04062   0.01645   0.01208   0.06916         8       640    0.6214    0.9577    0.8655    0.4823   0.03805  0.009985   0.00935
   28/1099     2.18G    0.0411   0.01629   0.01107   0.06846        42       640    0.7133    0.8351     0.861    0.4387   0.04295   0.01038  0.007604
   29/1099     2.18G   0.04453   0.01631   0.01132   0.07216        29       640    0.9294    0.9911    0.9839    0.6721   0.03245  0.009751  0.007512
   30/1099     2.18G   0.04742   0.01739   0.01089    0.0757        29       640    0.8194    0.9171    0.9464    0.5185   0.03465  0.009806  0.007207
   31/1099     2.18G   0.04298   0.01542   0.01022   0.06863         8       640    0.7678    0.9833    0.9462    0.5755   0.03312  0.009902  0.006478
   32/1099     2.18G   0.04061   0.01676  0.008905   0.06628        24       640    0.8831    0.9368    0.9689     0.624   0.03879  0.009804  0.005577
   33/1099     2.18G   0.04407   0.01663  0.008812   0.06951        17       640    0.9128    0.9665     0.964    0.5444   0.03129  0.009823  0.006005
   34/1099     2.18G   0.04046   0.01668  0.008061    0.0652        16       640    0.9653    0.9338    0.9935    0.6471   0.03112  0.009965  0.005299
   35/1099     2.18G   0.03657   0.01531  0.007647   0.05953        12       640    0.9058    0.9556    0.9797    0.6539   0.02957  0.009902  0.005252
   36/1099     2.18G   0.03648   0.01482  0.007518   0.05882        16       640    0.8713    0.9463    0.9807    0.7036   0.02889  0.009192  0.004577
   37/1099     2.18G   0.03619   0.01637  0.007622   0.06018        11       640    0.9563    0.9996    0.9953    0.7607   0.02407  0.008935  0.004766
   38/1099     2.18G   0.03344    0.0155  0.007002   0.05594        23       640    0.9173    0.9936    0.9851    0.7034   0.02744  0.008984   0.00479
   39/1099     2.18G    0.0348   0.01589  0.007116   0.05781        32       640    0.9654    0.9842     0.987    0.6619   0.02934   0.00934  0.004435
   40/1099     2.18G   0.03273   0.01605  0.006784   0.05557        18       640    0.9877    0.9854    0.9953    0.6514   0.02729  0.009523  0.004098
   41/1099     2.18G    0.0337   0.01495  0.006618   0.05528        13       640    0.8991    0.9806    0.9685    0.7294   0.02655  0.009268  0.004373
   42/1099     2.18G   0.03429   0.01672   0.00617   0.05719        34       640    0.9609    0.9754    0.9953    0.6988   0.02729  0.009619  0.004179
   43/1099     2.18G   0.03049   0.01439  0.005415   0.05029        22       640    0.9905    0.9844    0.9954    0.7411   0.02105  0.008521    0.0037
   44/1099     2.18G   0.03104   0.01525  0.005517   0.05181         8       640    0.9831    0.9937    0.9954    0.7194   0.02425  0.008788   0.00358
   45/1099     2.18G    0.0304   0.01413  0.005413   0.04994        21       640    0.9808    0.9745    0.9954    0.7819   0.02195  0.008593  0.004164
   46/1099     2.18G   0.02967   0.01397  0.005523   0.04916        28       640    0.9886    0.9925    0.9954    0.7148    0.0234  0.009002  0.003372
   47/1099     2.18G   0.02932   0.01349   0.00633   0.04913        10       640    0.9736    0.9681    0.9954    0.7567   0.02319  0.009313  0.005045
   48/1099     2.18G    0.0294     0.015   0.00632   0.05072        17       640    0.9898    0.9711    0.9954    0.7246    0.0231  0.008879   0.00401
   49/1099     2.18G   0.02905     0.015  0.005526   0.04957        20       640    0.9861    0.9743    0.9954    0.7646   0.02073  0.008384    0.0046
   50/1099     2.18G   0.02955   0.01409  0.006401   0.05004        10       640    0.9844    0.9679    0.9954    0.7293   0.02373  0.008625  0.005209
   51/1099     2.18G   0.02852   0.01568  0.005524   0.04972        27       640    0.9679    0.9796    0.9954    0.7455    0.0218  0.009074  0.004344
   52/1099     2.18G   0.03026   0.01406  0.005589   0.04991        11       640    0.9412    0.9687     0.985    0.7861   0.02094  0.008631  0.004985
